name,id,institution,longitude,latitude,keywords
alpha.east.isi.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-3-1:link=*,USC ISI East,,,
sands232.east.isi.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-1-11:link=*,USC ISI East,,,
protogeni.mcln.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MCLN:port=1-2-2:link=*,,,,
dcn.bato.loni.org,urn:ogf:network:domain=loni.org:node=lsu-dcn:port=0-2-1:link=*,LONI,,,
planetlab2.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX:port=1-0-9:link=*,MAX,,,
planetlab5.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX:port=1-0-5:link=*,MAX,,,
tokyo.dcn.jgn2plus.jp,urn:ogf:network:domain=dcn.jgn2plus.jp:node=kote-dc-2:port=0-0-5:link=kote-pc,JGN2,,,
fukuoka.dcn.jgn2plus.jp,urn:ogf:network:domain=dcn.jgn2plus.jp:node=kfukuoka-dc-1:port=0-0-10:link=kfukuoka-pc-1,JGN2,,,
geni-planetlab-1.unl.gpeni.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MCLN:port=1-2-2:link=*,GpENI,,,
ion.mcln.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MCLN:port=1-3-1:link=*,MAX,,,
sands230.east.isi.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-1-12:link=*,USC ISI East,,,
lambdastation.sdn.unl.edu,urn:ogf:network:domain=es.net:node=kans-sdn1:port=xe-8/1/0:link=*,University of Nebraska - Lincoln,,,
s1p3.uvalight.net,urn:ogf:network:domain=uvalight.net:node=SURFnet-OME4T_VIOLA:port=s1p3:link=10.9.2.1,,,,
ac10-m7i-1.testlab.grnoc.iu.edu,urn:ogf:network:domain=testlab.grnoc.iu.edu:node=ac10-m71-1:port=ge-0/3/0:link=*,Internet2,39.17418,-86.5006,
PNWGP.seat.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.seat:port=xe-0/3/0:link=*,Internet2,,,
LONI.hous.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.hous:port=xe-0/3/0:link=*,Internet2,,,
cron.loni.org,urn:ogf:network:domain=loni.org:node=lsu-dcn:port=0-2-3:link=*,LONI,,,
core.loni.org,urn:ogf:network:domain=loni.org:node=lsu-dcn:port=0-2-4:link=10.100.5.1,LONI,,,
test2.btr.loni.org,urn:ogf:network:domain=loni.org:node=lsu-dcn:port=0-4-1:link=*,LONI,,,
lsu-btr.loni.org,urn:ogf:network:domain=loni.org:node=loni-dcn-e1:port=0-2-4:link=10.100.5.2,LONI,,,
ion.btr.loni.org,urn:ogf:network:domain=loni.org:node=loni-dcn-e1:port=0-1-4:link=*,LONI,,,
loni-e1.loni.org,urn:ogf:network:domain=loni.org:node=loni-dcn-e1:port=0-9-3:link=*,LONI,,,
planetlab1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX:port=1-0-7:link=*,MAX,,,
ion.newy.esnet.net,urn:ogf:network:domain=es.net:node=aofa-sdn1:port=xe-7/1/0:link=*,ESnet,,,
Internet2.dcn.jgn2plus.jp,urn:ogf:network:domain=dcn.jgn2plus.jp:node=kote-dc-2:port=0-0-3:link=ion,JGN2,,,JGN2 Internet2
Internet2.caltech.edu,urn:ogf:network:domain=caltech.edu:node=vlsr2:port=0-4-1:link=11.1.1.2,Caltech,,,caltech internet2
ion.clpk.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=CLPK:port=1-2-3:link=*,MAX,,,
obs-hous.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.hous:port=xe-3/0/0:link=obs,Internet2,,,
obs-seat.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.seat:port=xe-9/2/0:link=obs,Internet2,,,
pacwave.seat.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.seat:port=xe-1/2/0:link=*,Internet2,,,pacwave pacific wave Internet2
scinet.hous.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.hous:port=xe-4/1/0:link=scinet,Internet2,,,Internet2, SCinet
GPN.kans.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.kans:port=xe-0/0/2:link=*,Internet2,,,
